poly,trans,SDI_mean,KSI_mean,MI_mean,Chi2_mean,Entropy_mean,MI_boot_mean,C,D,CDCI
41WMAS5G,GVBADF,0.0044050580431177445,0.3095190713101161,0.8110815172319181,6.312039800995025,2.5732007880602437,1.1684417734164938,0.005038977343024355,0.6936317834368759,0.34933538038995016
PZUHECW0,MKKTTNDI,0.0042805555555555565,0.3006666666666667,0.7669556684086614,3.482666666666667,2.578339380265966,1.1415198386233902,0.005111936037169318,0.7008517101374838,0.35298182308732656
TD7RQM3U,TAZBJRBE,0.004530555555555556,0.2441111111111111,0.7337307502553547,5.242,2.575378325828072,1.1233588291189662,0.004890735113942889,0.7007243755605626,0.3528075553372527
NOYW81G0,YAKFBQ,0.004302653399668325,0.2933665008291874,0.812992328297969,7.357213930348259,2.5715002180494104,1.1662169260479653,0.0050617824735394844,0.6936998244800963,0.3493808034768179
65GVKUPR,GOJSDDP,0.004223190602500946,0.2785335354300872,0.7779724533060921,8.090488821523305,2.5704153124702334,1.1477933444519104,0.0050089536038506926,0.7006801791483572,0.35284456637610395
AFIW0GCS,YRFIZSF,0.004442970822281166,0.18662372110647976,0.7472946555080091,5.567715043577112,2.574738134211656,1.1271867522023427,0.004986504340950377,0.7002671009804343,0.35262680266069235
VBLDF0TO,MNWLH,0.004577777777777779,0.3551111111111111,0.7878519908497974,6.055333333333333,2.573654936696683,1.1513051659507085,0.004929201753434684,0.6965963983789099,0.3507628000661723
Y61PN5I8,ESWJO,0.004391666666666667,0.3501666666666667,0.7182439901947208,3.1439999999999997,2.579018936325178,1.1106732345311237,0.005065396737544391,0.7053826497056686,0.35522402322160646
N1KCV3BY,LBNFMZF,0.004316976127320954,0.2909245926487306,0.7691795569049961,7.9590754073512695,2.5705930896548717,1.1363162477301048,0.00503761377532431,0.6982188459527028,0.35162822986401354
L8GT105R,RMULNLO,0.004097195907540734,0.3056271314892004,0.7625586854493026,5.731413414172034,2.5745555675465903,1.1422108383898064,0.004924473811678137,0.6990144990052778,0.35196948640847797
