key,SDI_mean,KSI_mean,MI_mean,Chi2_mean,Entropy_mean,MI_boot_mean,C,D,CDCI
UPEULU,0.005000000000000001,0.167,3.0798176556620627,22.924,4.620462371429208,3.241570338317792,0.07073198534078619,0.4020615339000561,0.23639675962042114
MUN,0.005000000000000001,0.334,3.205946074962367,23.652,4.613476906026202,3.304241291071373,0.07230026574196917,0.39542189294347374,0.23386107934272146
OHDT,0.005000000000000001,0.25,2.881977271542135,23.184,4.614309662729013,3.0598324888352977,0.07021723067541202,0.41136370563134966,0.24079046815338084
VRCGBJ,0.005000000000000001,0.166,2.4649726988552336,22.352,4.61717663761466,2.7735889778681333,0.07164115716085775,0.43843943102957555,0.25504029409521667
UGFZVS,0.005000000000000001,0.167,2.476734425383479,19.232,4.628938364158072,2.777298789099079,0.070110310123502,0.4368124870237001,0.25346139857360106
YTL,0.005000000000000001,0.334,3.195337727192924,26.72,4.60286855827018,3.2977678980613825,0.07159119814887707,0.3969461123456961,0.23426865524728657
GRZEI,0.005000000000000001,0.2,2.889475469437076,49.028,4.4970168749799955,3.067898253617008,0.06986271255784324,0.363117724179279,0.21649021836856114
XAC,0.005000000000000001,0.335,3.1994976080202417,25.472,4.607028439101575,3.3006131156163634,0.06863324607058749,0.3968887878022214,0.23276101693640444
GYEWVL,0.005000000000000001,0.167,2.4716991999568405,20.844,4.623903138743008,2.7764170187185995,0.0714172781130899,0.4376423926306595,0.2545298353718747
LPT,0.005000000000000001,0.333,3.1989855724974197,25.628000000000004,4.606516403569576,3.3003406084988662,0.06728025699583497,0.396300109486151,0.231790183240993
